"Problem","Severity","File","Line","Column","Rule","Description","URL","Category","Engine"
"1","3","C:\Code Scanning Git\TestingGitActions\force-app\main\default\classes\AccountInsertClass.cls","1","21","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"2","3","C:\Code Scanning Git\TestingGitActions\force-app\main\default\classes\AccountInsertClass.cls","2","5","EmptyStatementBlock","Avoid empty block statements.","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_errorprone.html#emptystatementblock","Error Prone","pmd"
"3","3","C:\Code Scanning Git\TestingGitActions\force-app\main\default\classes\AccountInsertClass.cls","2","12","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"4","3","C:\Code Scanning Git\TestingGitActions\force-app\main\default\classes\AccountInsertClass.cls","5","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"5","3","C:\Code Scanning Git\TestingGitActions\force-app\main\default\classes\AccountInsertClass.cls","6","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"6","3","C:\Code Scanning Git\TestingGitActions\force-app\main\default\classes\AccountInsertClass.cls","6","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"7","3","C:\Code Scanning Git\TestingGitActions\force-app\main\default\classes\AccountInsertClass.cls","11","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"8","3","C:\Code Scanning Git\TestingGitActions\force-app\main\default\classes\AccountInsertClass.cls","11","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"9","3","C:\Code Scanning Git\TestingGitActions\force-app\main\default\classes\AccountInsertClass.cls","13","19","ApexDoc","Missing ApexDoc comment","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_documentation.html#apexdoc","Documentation","pmd"
"10","3","C:\Code Scanning Git\TestingGitActions\force-app\main\default\classes\AccountInsertClass.cls","14","9","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"11","3","C:\Code Scanning Git\TestingGitActions\force-app\main\default\classes\AccountInsertClass.cls","14","9","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"12","3","C:\Code Scanning Git\TestingGitActions\force-app\main\default\classes\AccountInsertClass.cls","23","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"13","3","C:\Code Scanning Git\TestingGitActions\force-app\main\default\classes\AccountInsertClass.cls","23","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
"14","3","C:\Code Scanning Git\TestingGitActions\force-app\main\default\classes\AccountInsertClass.cls","26","13","ApexCRUDViolation","Validate CRUD permission before SOQL/DML operation or enforce user mode","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_security.html#apexcrudviolation","Security","pmd"
"15","3","C:\Code Scanning Git\TestingGitActions\force-app\main\default\classes\AccountInsertClass.cls","27","13","AvoidDebugStatements","Avoid debug statements since they impact on performance","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_performance.html#avoiddebugstatements","Performance","pmd"
"16","3","C:\Code Scanning Git\TestingGitActions\force-app\main\default\classes\AccountInsertClass.cls","27","13","DebugsShouldUseLoggingLevel","Calls to System.debug should specify a logging level.","https://docs.pmd-code.org/pmd-doc-7.4.0/pmd_rules_apex_bestpractices.html#debugsshoulduselogginglevel","Best Practices","pmd"
